Month,Unemployment_Rate,Population,Bankruptcy_Rate,House_Price_Index
72005,6.9,32205730,2.30891,72
82005,7.1,32244365,2.60883,72.3
92005,6.2,32286873,2.66796,72.7
102005,6.1,32327456,2.66987,73.2
112005,6,32357945,2.84969,73.6
122005,6.1,32373688,2.23731,74.1
12006,7.2,32381690,2.34207,74.7
22006,6.7,32391651,2.54418,75.2
32006,6.8,32411039,2.96411,76
42006,6.6,32439027,2.50531,76.9
52006,6.2,32470497,2.66087,77.8
62006,5.7,32502195,2.58107,79
72006,6.7,32535714,2.20191,79.8
82006,6.9,32574857,2.53724,81
92006,5.9,32619037,2.52273,81.4
102006,5.6,32662165,2.66936,81.6
112006,6,32695349,2.66539,82
122006,5.7,32713377,2.09018,82
12007,6.7,32723208,2.42142,82.3
22007,6.5,32734531,2.50031,82.7
32007,6.5,32755054,2.82168,83
42007,6.3,32784353,2.61872,83.7
52007,6.1,32817724,2.85341,84.6
62007,5.6,32852066,2.55982,85.1
72007,6.2,32888239,2.38893,85.9
82007,6.4,32929032,2.63159,86.3
92007,5.5,32973332,2.43803,86.5
102007,5.3,33016263,2.80948,86.6
112007,5.6,33050619,2.74253,87
122007,5.6,33072122,2.01615,87.1
12008,6.3,33086330,2.50647,87.6
22008,6.2,33100838,2.76458,87.9
32008,6.4,33122327,2.62723,88.1
42008,6.3,33151412,3.08222,88.1
52008,6.2,33186111,2.85662,88.1
62008,5.6,33224963,2.70519,88.2
72008,6.3,33267853,2.86884,88.2
82008,6.5,33315782,2.63779,88.2
92008,5.7,33365904,3.18529,88.3
102008,5.6,33413129,3.43697,87.9
112008,6.2,33450323,3.16559,87.7
122008,6.3,33473477,2.96473,87.5
12009,7.8,33489134,3.04815,87
22009,8.3,33505581,3.49375,86.4
32009,8.8,33530096,4.06471,86
42009,8.5,33562548,4.11709,85.5
52009,8.7,33598567,3.76177,85.4
62009,8.1,33635535,4.10042,85.2
72009,8.9,33674709,3.88748,85.4
82009,9.1,33719303,3.56858,85.5
92009,7.6,33768086,4.57978,85.9
102009,7.6,33815179,3.68357,86.1
112009,7.9,33852007,3.57764,86.4
122009,7.8,33873524,3.17768,86.7
12010,8.7,33886461,2.9563,87.1
22010,8.5,33899938,3.25692,87.1
32010,8.8,33921689,3.77229,87.4
42010,8.4,33952017,3.66266,87.6
52010,8.4,33987177,3.27276,87.9
62010,7.4,34024639,3.49727,88
72010,8.3,34064515,3.04477,87.9
82010,8.7,34108441,3.102,88
92010,7.4,34154785,3.33156,88.1
102010,7.2,34200637,3.34606,88.2
112010,7.2,34241365,3.50488,88.4
122010,7,34272214,2.89219,88.4
12011,8.1,34293518,2.68098,88.6
22011,8,34318363,2.9854,89
32011,8.2,34343208,3.524,89
42011,7.9,34368053,3.1722,89.2
52011,7.5,34406295,3.0685,89.6
62011,7,34444537,3.38149,89.8
72011,7.6,34482779,2.8134,89.9
82011,7.9,34523634,3.24947,90
92011,6.6,34564489,3.29172,90.1
102011,6.7,34605346,3.18309,90.3
112011,7,34627314,3.46957,90.6
122011,6.9,34648982,2.92832,90.7
12012,8,34693833,2.8580403,90.8
22012,7.7,34728441,3.1781408,91
32012,7.7,34763050,3.7883439,91.3
42012,7.5,34797658,3.3867794,91.5
52012,7.4,34832267,3.2919496,91.7
62012,6.7,34866876,3.2952416,91.9
72012,7.5,34901484,2.7218695,92
82012,7.8,34936093,3.1519249,92.1
92012,6.7,34970702,3.2023557,92.3
102012,6.7,35005310,3.0998803,92.5
112012,6.7,35039919,3.3695699,92.6
122012,6.7,35074528,2.8540257,92.7
12013,7.5,35158571,3.4762033,92.8
22013,7.4,35189619,3.4518699,93
32013,7.8,35220667,3.7797975,93
42013,7.4,35251714,4.1502177,93.2
52013,7.2,35282762,4.1626683,93.4
62013,6.7,35313810,3.5465934,93.5
72013,7.4,35344857,3.6317117,93.6
82013,7.6,35375905,3.5881311,93.7
92013,6.4,35406952,3.6491293,93.8
102013,6.4,35438000,4.0651301,93.8
112013,6.5,35469048,3.6626822,93.9
122013,6.7,35500095,3.0473516,93.9
12014,7.4,35531143,3.3246606,94.1
22014,7.4,35562190,3.6072567,94.4
32014,7.4,35593238,3.9066591,94.5
42014,7.3,35624286,4.0433921,94.7
52014,7.2,35655333,4.0595657,94.8
62014,6.7,35686381,3.5805369,94.9
72014,7.3,35717429,3.7345,94.9
82014,7.5,35748476,3.43574,95.2
92014,6.3,35779524,3.793057,95.3
102014,6,35810571,4.0699502,95.4
112014,6.2,35841619,3.5367867,95.5
122014,6.2,35872667,3.3882416,95.5
